fir_id,crime_type,date,location_id,status,description
FIR-1022,Cyber Fraud,2024-07-04,14,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 663000 from victim account via links.
FIR-1023,Robbery,2024-10-25,57,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1024,Robbery,2024-04-29,80,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1025,Financial Crime,2026-02-19,92,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 32 Lakhs.
FIR-1026,Robbery,2025-01-08,18,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1027,Assault,2025-04-11,82,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1028,Vehicle Theft,2025-03-17,68,Under Investigation,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1029,Theft,2024-11-02,4,Completed,Report of theft of mobile phone from a residential area during night hours.
FIR-1030,Robbery,2024-11-08,63,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1031,Theft,2024-01-26,15,Pending,Report of theft of cash box from a residential area during night hours.
FIR-1032,Assault,2026-04-10,43,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1033,Vehicle Theft,2024-04-21,68,Closed,Vehicle theft of a Honda Activa parked near local metro station. Suspects unknown.
FIR-1034,Vehicle Theft,2026-01-16,42,Completed,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1035,Cyber Fraud,2025-01-11,2,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 30000 from victim account via links.
FIR-1036,Financial Crime,2024-10-07,70,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 17 Lakhs.
FIR-1037,Cyber Fraud,2024-09-04,84,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 112000 from victim account via links.
FIR-1038,Financial Crime,2026-04-01,33,Under Investigation,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 43 Lakhs.
FIR-1039,Robbery,2025-06-13,99,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1040,Assault,2025-03-09,22,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1041,Vehicle Theft,2024-11-08,88,Under Investigation,Vehicle theft of a Honda Activa parked near local metro station. Suspects unknown.
FIR-1042,Theft,2024-01-19,23,Completed,Report of theft of mobile phone from a residential area during night hours.
FIR-1043,Robbery,2025-10-27,24,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1044,Cyber Fraud,2025-04-11,8,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 191000 from victim account via links.
FIR-1045,Narcotics,2025-02-04,22,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1046,Burglary,2025-02-27,7,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1047,Financial Crime,2025-06-12,51,Under Investigation,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 30 Lakhs.
FIR-1048,Burglary,2025-07-08,58,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1049,Cyber Fraud,2024-07-13,15,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 741000 from victim account via links.
FIR-1050,Robbery,2024-09-12,24,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1051,Cyber Fraud,2026-03-30,27,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 383000 from victim account via links.
FIR-1052,Financial Crime,2025-06-05,85,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 31 Lakhs.
FIR-1053,Cyber Fraud,2026-01-07,62,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 294000 from victim account via links.
FIR-1054,Assault,2025-09-20,70,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1055,Vehicle Theft,2025-07-25,21,Under Investigation,Vehicle theft of a Honda Activa parked near local metro station. Suspects unknown.
FIR-1056,Assault,2024-11-28,88,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1057,Financial Crime,2025-05-27,36,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 38 Lakhs.
FIR-1058,Robbery,2025-10-15,83,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1059,Financial Crime,2025-11-09,26,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 40 Lakhs.
FIR-1060,Burglary,2026-04-11,2,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1061,Cyber Fraud,2026-03-02,45,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 790000 from victim account via links.
FIR-1062,Narcotics,2024-04-05,6,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1063,Burglary,2024-12-28,61,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1064,Financial Crime,2026-05-30,38,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 6 Lakhs.
FIR-1065,Cyber Fraud,2025-07-07,56,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 38000 from victim account via links.
FIR-1066,Narcotics,2025-03-19,42,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1067,Assault,2024-07-10,21,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1068,Burglary,2025-09-16,9,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1069,Robbery,2026-02-01,39,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1070,Cyber Fraud,2025-01-30,22,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 66000 from victim account via links.
FIR-1071,Burglary,2024-08-30,5,Closed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1072,Vehicle Theft,2024-01-01,72,Completed,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1073,Vehicle Theft,2026-01-28,62,Pending,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1074,Theft,2024-12-18,13,Completed,Report of theft of mobile phone from a residential area during night hours.
FIR-1075,Burglary,2026-01-04,23,Closed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1076,Robbery,2026-05-22,84,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1077,Cyber Fraud,2024-12-27,70,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 570000 from victim account via links.
FIR-1078,Assault,2025-07-26,26,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1079,Burglary,2025-12-02,35,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1080,Cyber Fraud,2024-09-29,80,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 193000 from victim account via links.
FIR-1081,Assault,2024-08-09,28,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1082,Theft,2024-04-24,44,Under Investigation,Report of theft of cash box from a residential area during night hours.
FIR-1083,Financial Crime,2025-11-14,82,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 5 Lakhs.
FIR-1084,Cyber Fraud,2024-01-19,62,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 652000 from victim account via links.
FIR-1085,Robbery,2024-06-05,3,Pending,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1086,Cyber Fraud,2024-06-03,4,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 662000 from victim account via links.
FIR-1087,Theft,2025-04-07,51,Completed,Report of theft of laptops from a residential area during night hours.
FIR-1088,Robbery,2024-02-28,47,Pending,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1089,Burglary,2024-02-13,33,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1090,Assault,2025-12-17,62,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1091,Theft,2025-08-25,74,Pending,Report of theft of mobile phone from a residential area during night hours.
FIR-1092,Financial Crime,2025-01-08,89,Under Investigation,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 7 Lakhs.
FIR-1093,Narcotics,2026-01-13,64,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1094,Burglary,2025-05-28,43,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1095,Narcotics,2024-04-21,60,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1096,Assault,2024-04-09,31,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1097,Narcotics,2025-04-10,64,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1098,Financial Crime,2025-08-30,85,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 32 Lakhs.
FIR-1099,Theft,2024-09-17,77,Closed,Report of theft of gold necklace from a residential area during night hours.
FIR-1100,Assault,2026-05-07,82,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1101,Narcotics,2024-07-08,89,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1102,Cyber Fraud,2024-04-20,76,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 695000 from victim account via links.
FIR-1103,Robbery,2025-11-24,89,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1104,Burglary,2024-01-07,12,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1105,Cyber Fraud,2024-01-30,13,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 771000 from victim account via links.
FIR-1106,Vehicle Theft,2024-01-25,87,Under Investigation,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1107,Assault,2024-07-10,32,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1108,Assault,2025-09-27,37,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1109,Theft,2025-11-11,22,Closed,Report of theft of cash box from a residential area during night hours.
FIR-1110,Vehicle Theft,2024-10-23,61,Under Investigation,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1111,Assault,2024-10-13,58,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1112,Burglary,2026-03-13,9,Closed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1113,Cyber Fraud,2026-04-18,25,Under Investigation,Unauthorized UPI/phishing transaction resulting in transfer of INR 389000 from victim account via links.
FIR-1114,Assault,2024-05-28,93,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1115,Narcotics,2025-10-01,24,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1116,Cyber Fraud,2026-01-11,33,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 249000 from victim account via links.
FIR-1117,Financial Crime,2026-04-26,1,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 47 Lakhs.
FIR-1118,Assault,2025-06-12,52,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1119,Vehicle Theft,2025-06-27,68,Pending,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1120,Burglary,2026-05-24,88,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1121,Narcotics,2024-03-30,83,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1122,Burglary,2026-03-27,3,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1123,Robbery,2025-03-06,64,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1124,Theft,2024-09-09,69,Closed,Report of theft of gold necklace from a residential area during night hours.
FIR-1125,Assault,2025-12-29,84,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1126,Robbery,2025-06-28,39,Pending,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1127,Financial Crime,2024-02-10,82,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 14 Lakhs.
FIR-1128,Assault,2024-06-29,25,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1129,Cyber Fraud,2026-01-30,54,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 314000 from victim account via links.
FIR-1130,Financial Crime,2026-05-23,1,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 42 Lakhs.
FIR-1131,Assault,2026-04-21,45,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1132,Assault,2026-03-14,34,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1133,Financial Crime,2026-04-14,85,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 30 Lakhs.
FIR-1134,Theft,2026-02-06,78,Under Investigation,Report of theft of mobile phone from a residential area during night hours.
FIR-1135,Robbery,2025-10-13,65,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1136,Cyber Fraud,2024-05-14,41,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 442000 from victim account via links.
FIR-1137,Theft,2025-05-20,99,Under Investigation,Report of theft of cash box from a residential area during night hours.
FIR-1138,Burglary,2024-09-26,45,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1139,Assault,2025-10-13,15,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1140,Cyber Fraud,2025-08-13,47,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 558000 from victim account via links.
FIR-1141,Financial Crime,2024-06-29,92,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 19 Lakhs.
FIR-1142,Burglary,2025-10-02,50,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1143,Financial Crime,2026-03-29,38,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 27 Lakhs.
FIR-1144,Cyber Fraud,2025-10-04,12,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 155000 from victim account via links.
FIR-1145,Theft,2026-03-08,24,Under Investigation,Report of theft of cash box from a residential area during night hours.
FIR-1146,Cyber Fraud,2025-11-22,100,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 606000 from victim account via links.
FIR-1147,Vehicle Theft,2026-05-30,76,Under Investigation,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1148,Robbery,2025-04-08,79,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1149,Assault,2026-03-28,88,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1150,Financial Crime,2025-10-06,58,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 38 Lakhs.
FIR-1151,Cyber Fraud,2024-03-19,44,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 244000 from victim account via links.
FIR-1152,Vehicle Theft,2024-10-03,74,Closed,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1153,Financial Crime,2024-05-20,25,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 13 Lakhs.
FIR-1154,Financial Crime,2026-01-13,16,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 25 Lakhs.
FIR-1155,Narcotics,2024-12-04,60,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1156,Assault,2026-05-25,87,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1157,Theft,2025-01-19,76,Closed,Report of theft of gold necklace from a residential area during night hours.
FIR-1158,Assault,2025-03-28,9,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1159,Narcotics,2025-06-15,32,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1160,Assault,2024-11-26,24,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1161,Theft,2025-10-27,7,Under Investigation,Report of theft of mobile phone from a residential area during night hours.
FIR-1162,Vehicle Theft,2024-01-16,87,Completed,Vehicle theft of a Honda Activa parked near local metro station. Suspects unknown.
FIR-1163,Financial Crime,2025-01-21,66,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 23 Lakhs.
FIR-1164,Robbery,2025-07-22,43,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1165,Burglary,2025-02-24,82,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1166,Robbery,2025-05-13,1,Pending,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1167,Assault,2024-06-20,42,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1168,Vehicle Theft,2025-10-31,40,Completed,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1169,Cyber Fraud,2025-08-20,53,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 783000 from victim account via links.
FIR-1170,Narcotics,2024-05-10,25,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1171,Burglary,2024-01-08,74,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1172,Assault,2024-12-04,70,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1173,Theft,2025-11-26,45,Under Investigation,Report of theft of laptops from a residential area during night hours.
FIR-1174,Robbery,2026-04-09,2,Pending,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1175,Assault,2025-12-26,55,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1176,Theft,2024-11-23,2,Under Investigation,Report of theft of cash box from a residential area during night hours.
FIR-1177,Vehicle Theft,2025-05-22,44,Closed,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1178,Theft,2024-11-25,86,Under Investigation,Report of theft of cash box from a residential area during night hours.
FIR-1179,Narcotics,2024-02-28,39,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1180,Narcotics,2024-12-26,78,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1181,Robbery,2024-08-28,81,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1182,Theft,2024-07-23,87,Closed,Report of theft of mobile phone from a residential area during night hours.
FIR-1183,Vehicle Theft,2025-11-19,40,Pending,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1184,Cyber Fraud,2024-03-28,7,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 75000 from victim account via links.
FIR-1185,Robbery,2026-05-07,60,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1186,Theft,2024-12-11,36,Closed,Report of theft of gold necklace from a residential area during night hours.
FIR-1187,Vehicle Theft,2025-08-22,95,Pending,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1188,Vehicle Theft,2024-10-05,68,Under Investigation,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1189,Vehicle Theft,2025-01-18,89,Under Investigation,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1190,Assault,2024-04-11,44,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1191,Vehicle Theft,2024-10-31,56,Pending,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1192,Financial Crime,2024-02-05,12,Under Investigation,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 15 Lakhs.
FIR-1193,Theft,2024-06-10,59,Completed,Report of theft of cash box from a residential area during night hours.
FIR-1194,Robbery,2024-06-22,23,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1195,Assault,2024-03-20,83,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1196,Assault,2024-11-29,73,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1197,Narcotics,2024-11-25,14,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1198,Vehicle Theft,2025-01-25,33,Completed,Vehicle theft of a Suzuki Swift car parked near local metro station. Suspects unknown.
FIR-1199,Theft,2024-05-16,14,Closed,Report of theft of laptops from a residential area during night hours.
FIR-1200,Robbery,2025-02-02,48,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1201,Financial Crime,2025-01-31,80,Pending,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 6 Lakhs.
FIR-1202,Narcotics,2024-05-12,81,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1203,Financial Crime,2025-09-26,14,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 28 Lakhs.
FIR-1204,Burglary,2026-06-07,64,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1205,Narcotics,2024-05-06,88,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1206,Cyber Fraud,2025-03-25,42,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 578000 from victim account via links.
FIR-1207,Narcotics,2026-04-13,60,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1208,Burglary,2025-07-09,15,Under Investigation,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1209,Assault,2026-01-05,81,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1210,Narcotics,2026-03-05,24,Closed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1211,Financial Crime,2024-02-07,98,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 20 Lakhs.
FIR-1212,Vehicle Theft,2025-02-27,4,Closed,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1213,Burglary,2026-06-18,12,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1214,Robbery,2026-04-24,50,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1215,Cyber Fraud,2026-02-16,29,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 601000 from victim account via links.
FIR-1216,Vehicle Theft,2024-05-25,97,Under Investigation,Vehicle theft of a Honda Activa parked near local metro station. Suspects unknown.
FIR-1217,Assault,2026-01-08,97,Pending,Physical assault and altercation following argument over parking space in municipal market.
FIR-1218,Narcotics,2024-01-31,75,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1219,Robbery,2025-10-13,80,Completed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1220,Assault,2025-02-12,44,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1221,Cyber Fraud,2024-02-05,73,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 790000 from victim account via links.
FIR-1222,Burglary,2024-05-31,41,Completed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1223,Assault,2025-04-04,2,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1224,Assault,2025-11-25,65,Completed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1225,Burglary,2025-04-02,92,Closed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1226,Theft,2026-02-22,17,Closed,Report of theft of laptops from a residential area during night hours.
FIR-1227,Narcotics,2026-05-31,14,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1228,Narcotics,2024-01-29,77,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1229,Cyber Fraud,2025-04-05,40,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 677000 from victim account via links.
FIR-1230,Theft,2025-12-18,66,Pending,Report of theft of cash box from a residential area during night hours.
FIR-1231,Robbery,2024-02-01,25,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1232,Financial Crime,2024-07-13,13,Completed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 9 Lakhs.
FIR-1233,Financial Crime,2024-01-14,2,Closed,Embezzlement and corporate financial fraud involving unauthorized vendor invoice billing of INR 26 Lakhs.
FIR-1234,Theft,2025-01-04,36,Under Investigation,Report of theft of laptops from a residential area during night hours.
FIR-1235,Robbery,2025-08-30,86,Under Investigation,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1236,Narcotics,2025-02-19,16,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
